image_id,num,pred_sato01
100,11,10
101,14,12
102,8,8
103,2,2
104,14,11
105,19,14
106,18,15
107,2,2
108,3,3
109,6,6
110,12,10
111,2,2
112,20,13
113,8,9
114,17,12
115,7,8
116,2,2
117,10,9
118,18,10
119,8,9
120,4,4
121,8,8
122,13,12
123,9,8
124,2,2
125,7,7
126,4,4
127,8,8
128,11,10
129,8,8
130,5,5
131,12,10
132,18,13
133,9,9
134,3,3
135,5,5
136,9,8
137,4,4
138,13,10
139,17,12
140,19,16
141,8,
142,12,9
143,4,4
144,15,12
145,19,17
146,2,2
147,11,11
148,4,4
149,13,11
150,19,16
151,7,8
152,15,14
153,19,15
154,19,15
155,16,13
156,12,10
157,10,12
158,17,14
159,9,10
160,16,13
161,17,14
162,6,6
163,19,14
164,6,6
165,8,8
166,8,8
167,11,11
168,8,7
169,18,11
170,18,13
171,10,9
172,6,5
173,12,13
174,18,14
175,19,15
176,10,10
177,11,11
178,4,4
179,8,8
180,9,9
181,3,3
182,4,4
183,12,11
184,20,41
185,11,13
186,15,15
187,18,16
188,2,2
189,10,10
190,16,13
191,4,4
192,10,8
193,13,12
194,14,13
195,14,14
196,10,11
197,15,12
198,19,13
199,10,12
