image_id,num,pred_yuki
099,5,5
098,8,7
097,3,3
096,2,2
095,6,6
094,4,4
093,20,13
092,15,7
091,16,11
090,9,8
089,10,9
088,3,3
087,19,9
086,5,5
085,6,6
084,15,9
083,10,10
082,8,7
081,9,9
080,10,10
079,9,8
078,2,2
077,5,5
076,19,13
075,18,13
074,14,10
073,5,5
072,8,8
071,10,9
070,19,12
069,20,12
068,13,10
067,3,3
066,13,10
065,17,13
064,19,14
063,11,10
062,12,11
061,12,10
060,4,4
059,10,8
058,17,12
057,13,10
056,19,15
055,9,10
054,20,15
053,12,11
052,6,6
051,4,4
050,13,10
049,11,10
048,12,11
047,2,2
046,16,7
045,5,5
044,9,7
043,4,4
042,15,9
041,20,12
040,19,13
039,8,8
038,8,8
037,4,4
036,11,9
035,20,12
034,15,12
033,8,8
032,10,10
031,4,4
030,18,11
029,14,12
028,3,3
027,2,2
026,2,2
025,12,9
024,4,4
023,20,13
022,13,9
021,18,13
020,17,14
019,11,10
018,13,11
017,2,2
016,3,3
015,17,11
014,9,9
013,11,10
012,11,10
011,2,2
010,16,11
009,5,5
008,7,7
007,2,2
006,5,5
005,5,5
004,6,6
003,15,11
002,3,3
001,13,9
000,13,10
